========================================================================= 
Log Path: log_file.log 
Working Directory: /home/user/Projects/CUNY/bergeys.webscraper/misc 
User Name: user 
R Version: 4.3.1 (2023-06-16) 
Machine: pop-os x86_64 
Operating System: Linux 6.5.6-76060506-generic #202310061235~1697396945~22.04~9283e32 SMP PREEMPT_DYNAMIC Sun O 
Base Packages: stats graphics grDevices utils datasets methods base Other Packages: readr_2.1.4 logr_1.3.4 dplyr_1.1.3 purrr_1.0.2 stringr_1.5.0 rvest_1.0.3 
Log Start Time: 2023-11-10 11:15:26.462624 
========================================================================= 
Number of links: 1373 

Got Lapillicoccus † - Number 81. Time: 2023-11-10 11:17:33.208145. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00081/abstract 
Got Ornithinicoccus † - Number 82. Time: 2023-11-10 11:17:34.734941. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00082/abstract 
Got Ornithinimicrobium † - Number 83. Time: 2023-11-10 11:17:35.949603. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00083/abstract 
Got Oryzihumus † - Number 84. Time: 2023-11-10 11:17:38.163294. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00084/abstract 
Got Phycicoccus † - Number 85. Time: 2023-11-10 11:17:39.576226. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00085/abstract 
Got Serinicoccus † - Number 86. Time: 2023-11-10 11:17:40.781841. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00086/abstract 
Got Terrabacter † - Number 87. Time: 2023-11-10 11:17:41.993293. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00087/abstract 
Got Terracoccus † - Number 88. Time: 2023-11-10 11:17:43.333672. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00088/abstract 
Got Tetrasphaera † - Number 89. Time: 2023-11-10 11:17:44.529989. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00089/abstract 
Got Jonesia † - Number 90. Time: 2023-11-10 11:17:45.838452. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00090/abstract 
Got Agreia † - Number 91. Time: 2023-11-10 11:17:47.150763. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00091/abstract 
Got Agrococcus † - Number 92. Time: 2023-11-10 11:17:48.399355. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00092/abstract 
Got Agromyces † - Number 93. Time: 2023-11-10 11:17:50.0599. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00093/abstract 
Got Clavibacter † - Number 94. Time: 2023-11-10 11:17:52.138187. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00094/abstract 
Got Cryobacterium † - Number 95. Time: 2023-11-10 11:17:53.794101. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00095/abstract 
Got Curtobacterium † - Number 96. Time: 2023-11-10 11:17:55.190271. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00096/abstract 
Got Frigoribacterium † - Number 97. Time: 2023-11-10 11:17:56.501951. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00097/abstract 
Got Frondihabitans † - Number 98. Time: 2023-11-10 11:17:58.011708. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00098/abstract 
Got Gulosibacter † - Number 99. Time: 2023-11-10 11:17:59.329519. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00099/abstract 
Got Humibacter † - Number 100. Time: 2023-11-10 11:18:00.640132. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00100/abstract 
